word,translation,category
la alegría,die Freude,"emotions"
la tristeza,die Traurigkeit,"emotions"
el miedo,die Angst,"emotions"
la ira,die Wut,"emotions"
el amor,die Liebe,"emotions"
la sorpresa,die Überraschung,"emotions"
la decepción,die Enttäuschung,"emotions"
la felicidad,die Glückseligkeit,"emotions"
el orgullo,der Stolz,"emotions"
la ansiedad,die Angst,"emotions"
la calma,die Ruhe,"emotions"
el alivio,die Erleichterung,"emotions"
la frustración,die Frustration,"emotions"
la esperanza,die Hoffnung,"emotions"
el asco,der Ekel,"emotions"
la compasión,die Mitgefühl,"emotions"
la soledad,die Einsamkeit,"emotions"
el entusiasmo,der Enthusiasmus,"emotions"
la nostalgia,die Nostalgie,"emotions"
el desánimo,die Entmutigung,"emotions"
la ternura,die Zärtlichkeit,"emotions"
el arrepentimiento,die Reue,"emotions"
la admiración,die Bewunderung,"emotions"
el deseo,der Wunsch,"emotions"
la envidia,der Neid,"emotions"
la culpa,die Schuld,"emotions"
el pánico,der Panik,"emotions"
la desesperación,die Verzweiflung,"emotions"
la satisfacción,die Zufriedenheit,"emotions"
el desasosiego,die Unruhe,"emotions"
la irritación,die Irritation,"emotions"
el alivio,die Erleichterung,"emotions"
la euforia,die Euphorie,"emotions"
la melancolía,die Melancholie,"emotions"
el temor,die Furcht,"emotions"
